country_code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Saltillo,SME,2024-06-10 / 2024-06-16,71.0
MX,Puerto Vallarta,SME,2024-06-10 / 2024-06-16,39.0
MX,Merida,SME,2024-06-10 / 2024-06-16,56.0
MX,Tehuacan,SME,2024-06-10 / 2024-06-16,13.0
MX,Ciudad Obregon,SME,2024-06-10 / 2024-06-16,77.0
MX,Mazatlan,SME,2024-06-10 / 2024-06-16,61.0
MX,Mexicali,SME,2024-06-10 / 2024-06-16,226.0
MX,Tepic,SME,2024-06-10 / 2024-06-16,96.0
MX,Tampico,SME,2024-06-10 / 2024-06-16,73.0
MX,San Juan del Rio,SME,2024-06-10 / 2024-06-16,33.0
MX,Mexico City,SME,2024-06-10 / 2024-06-16,1066.0
MX,Xalapa,SME,2024-06-10 / 2024-06-16,15.0
MX,Toluca,SME,2024-06-10 / 2024-06-16,106.0
MX,Pachuca,SME,2024-06-10 / 2024-06-16,26.0
MX,San Luis Potosi,SME,2024-06-10 / 2024-06-16,136.0
MX,Culiacan,SME,2024-06-10 / 2024-06-16,150.0
MX,Solidaridad,SME,2024-06-10 / 2024-06-16,9.0
MX,Oaxaca,SME,2024-06-10 / 2024-06-16,91.0
MX,Tlaxcala,SME,2024-06-10 / 2024-06-16,24.0
MX,Cordoba,SME,2024-06-10 / 2024-06-16,34.0
MX,Carmen,SME,2024-06-10 / 2024-06-16,13.0
MX,Acapulco,SME,2024-06-10 / 2024-06-16,22.0
MX,Matamoros,SME,2024-06-10 / 2024-06-16,75.0
MX,Navojoa,SME,2024-06-10 / 2024-06-16,20.0
MX,San Cristobal de las Casas,SME,2024-06-10 / 2024-06-16,17.0
MX,Poza Rica de Hidalgo,SME,2024-06-10 / 2024-06-16,12.0
CO,Bucaramanga,CKA,2024-06-10 / 2024-06-16,9.0
CO,Bogota D.C.,CKA,2024-06-10 / 2024-06-16,353.0
CO,Cali,CKA,2024-06-10 / 2024-06-16,71.0
CO,Barranquilla,CKA,2024-06-10 / 2024-06-16,43.0
CO,Medellin,CKA,2024-06-10 / 2024-06-16,257.0
CO,Cartagena,CKA,2024-06-10 / 2024-06-16,1.0
CO,Bogota D.C.,SME,2024-06-10 / 2024-06-16,329.0
CO,Cucuta,SME,2024-06-10 / 2024-06-16,2.0
CO,Cali,SME,2024-06-10 / 2024-06-16,177.0
CO,Bucaramanga,SME,2024-06-10 / 2024-06-16,25.0
CO,Barranquilla,SME,2024-06-10 / 2024-06-16,84.0
CO,Cartagena,SME,2024-06-10 / 2024-06-16,9.0
CO,Medellin,SME,2024-06-10 / 2024-06-16,292.0
CR,San Jose,CKA,2024-06-10 / 2024-06-16,96.0
CR,San Jose,SME,2024-06-10 / 2024-06-16,99.0
PE,Lima,CKA,2024-06-10 / 2024-06-16,57.0
