country_code,city_name,organization_type,stat_date(月),Daily Orders
MX,Tlaxcala,DK,2024-05-01 / 2024-05-01,0
MX,Uruapan,SME,2024-05-01 / 2024-05-01,0
MX,Carmen,SME,2024-05-01 / 2024-05-01,193
MX,La Piedad,SME,2024-05-01 / 2024-05-01,-
MX,Comitan de Dominguez,SME,2024-05-01 / 2024-05-01,-
MX,Oaxaca,DK,2024-05-01 / 2024-05-01,50
MX,Chetumal,DK,2024-05-01 / 2024-05-01,30
MX,Tulancingo,SME,2024-05-01 / 2024-05-01,-
MX,Coatzacoalcos,DK,2024-05-01 / 2024-05-01,6
MX,Abejones,SME,2024-05-01 / 2024-05-01,-
MX,Tapachula,DK,2024-05-01 / 2024-05-01,2
MX,Las Choapas,SME,2024-05-01 / 2024-05-01,92
MX,Apizaco,SME,2024-05-01 / 2024-05-01,-
MX,Minatitlan,SME,2024-05-01 / 2024-05-01,-
MX,Campeche,DK,2024-05-01 / 2024-05-01,2
MX,Solidaridad,DK,2024-05-01 / 2024-05-01,5
MX,Pachuca,DK,2024-05-01 / 2024-05-01,-
MX,Cordoba,DK,2024-05-01 / 2024-05-01,-
MX,Acapulco,DK,2024-05-01 / 2024-05-01,-
MX,Zamora,KA,2024-05-01 / 2024-05-01,-
MX,Veracruz,DK,2024-05-01 / 2024-05-01,12
MX,Villahermosa,DK,2024-05-01 / 2024-05-01,72
MX,Poza Rica de Hidalgo,DK,2024-05-01 / 2024-05-01,-
MX,Las Choapas,DK,2024-05-01 / 2024-05-01,-
MX,Tehuacan,DK,2024-05-01 / 2024-05-01,0
MX,Morelia,DK,2024-05-01 / 2024-05-01,47
MX,Xalapa,DK,2024-05-01 / 2024-05-01,7
MX,Poza Rica de Hidalgo,SME,2024-05-01 / 2024-05-01,155
MX,Tehuacan,SME,2024-05-01 / 2024-05-01,261
MX,Puebla,SME,2024-05-01 / 2024-05-01,3205
MX,Cuernavaca,SME,2024-05-01 / 2024-05-01,1794
MX,Merida,SME,2024-05-01 / 2024-05-01,1221
MX,Oaxaca,SME,2024-05-01 / 2024-05-01,1364
MX,Chetumal,SME,2024-05-01 / 2024-05-01,205
MX,Acapulco,SME,2024-05-01 / 2024-05-01,265
MX,San Cristobal de las Casas,SME,2024-05-01 / 2024-05-01,217
MX,Solidaridad,SME,2024-05-01 / 2024-05-01,219
MX,Tapachula,SME,2024-05-01 / 2024-05-01,206
MX,Cancun,SME,2024-05-01 / 2024-05-01,1650
MX,Coatzacoalcos,SME,2024-05-01 / 2024-05-01,227
MX,Pachuca,SME,2024-05-01 / 2024-05-01,482
MX,Xalapa,SME,2024-05-01 / 2024-05-01,310
MX,Veracruz,SME,2024-05-01 / 2024-05-01,1141
MX,Tuxtla Gutierrez,SME,2024-05-01 / 2024-05-01,1917
MX,Villahermosa,SME,2024-05-01 / 2024-05-01,1474
MX,Morelia,SME,2024-05-01 / 2024-05-01,2378
MX,Tlaxcala,SME,2024-05-01 / 2024-05-01,434
MX,Campeche,SME,2024-05-01 / 2024-05-01,511
MX,Cuernavaca,DK,2024-05-01 / 2024-05-01,32
MX,Poza Rica de Hidalgo,CKA,2024-05-01 / 2024-05-01,17
MX,Las Choapas,CKA,2024-05-01 / 2024-05-01,6
MX,Acapulco,CKA,2024-05-01 / 2024-05-01,25
MX,Cancun,DK,2024-05-01 / 2024-05-01,109
MX,Tehuacan,KA,2024-05-01 / 2024-05-01,219
MX,Comitan de Dominguez,KA,2024-05-01 / 2024-05-01,0
MX,San Cristobal de las Casas,KA,2024-05-01 / 2024-05-01,215
MX,Tapachula,KA,2024-05-01 / 2024-05-01,295
MX,Tulancingo,KA,2024-05-01 / 2024-05-01,-
MX,Campeche,KA,2024-05-01 / 2024-05-01,321
MX,Chilpancingo de los Bravo,KA,2024-05-01 / 2024-05-01,0
MX,Poza Rica de Hidalgo,KA,2024-05-01 / 2024-05-01,133
MX,Chilpancingo de los Bravo,CKA,2024-05-01 / 2024-05-01,-
MX,Chetumal,KA,2024-05-01 / 2024-05-01,357
MX,Villahermosa,KA,2024-05-01 / 2024-05-01,1907
MX,Tlaxcala,KA,2024-05-01 / 2024-05-01,356
MX,Pachuca,KA,2024-05-01 / 2024-05-01,506
MX,Tuxtla Gutierrez,KA,2024-05-01 / 2024-05-01,1450
MX,Las Choapas,KA,2024-05-01 / 2024-05-01,116
MX,Uruapan,KA,2024-05-01 / 2024-05-01,0
MX,Carmen,KA,2024-05-01 / 2024-05-01,454
MX,Cordoba,KA,2024-05-01 / 2024-05-01,579
MX,Coatzacoalcos,KA,2024-05-01 / 2024-05-01,503
MX,Oaxaca,KA,2024-05-01 / 2024-05-01,1072
MX,Tehuacan,CKA,2024-05-01 / 2024-05-01,43
MX,Uruapan,CKA,2024-05-01 / 2024-05-01,0
MX,Coatzacoalcos,CKA,2024-05-01 / 2024-05-01,52
MX,Zamora,CKA,2024-05-01 / 2024-05-01,-
MX,Solidaridad,CKA,2024-05-01 / 2024-05-01,50
MX,Chetumal,CKA,2024-05-01 / 2024-05-01,5
MX,Villahermosa,CKA,2024-05-01 / 2024-05-01,1510
